secp256r1,0xf4cc068b8e3ba19e820beebc29f48c81080179ccacff954b9179a7d8649946b0,0x53d900567829163fca1d2b57ae1fa44d86b489dc3b3bed28b99d872d1cd29c56
2b67afac20e5d0b5e302386ee4f12c9c66e88d80f5114141cfda876dc3718a49,-f083fd15e1e127f6bc0e68a1a4be7b356662abeba6f97ebc436bde4e80d38327,31
6cee9e0d8a46be0278d4f3ab1091c1266a36b90ad363e838f7472362c658fe2a,-ee75b076dae43ddfd2500c7b1bfde61a770f4f7f7e2da729e50c85cc93b124dc,32
1dfc438c64befb37cfd56601f35301af53833b43cb3f2d5538813b2a86a6cbf4,248f8339e74bf208743976c9d5b2efc910e56c1ecdd88679a267ceae6a3e031,32
2213bc3eec8703ae67867b8d972730ca1851aa59c44909c142124ad41559a8af,-f95eb486799726edcd12dd94392bc3d0b93c8098d45ce8a50a658e0b2c3af701,31
15bcafdf96cd57a49f785f5d13924554a8cf55a7241bb843ab3923f4ca2b8500,-77f90ed0ff2df440bac3b446e51036e0664535ffa1359c0b6ff96e20f46386eb,32
a925d68bd210198cee7b160c592a99a0ff5bd24513d3f2bbf0ebccbbb9dcad92,-4c015bfe4d855a5a81e1c3f4592680220513ac217152a9ad9458d72985923ca,31
fde923c390953e2afed4394a72914c3dae2c6bc2c93916ef7b6930472ca47f32,-6a2fa629a56fce6c1ce2d412cc07ab4d2eac3aae2dba8b569a6c6308e03e590b,31
d37427c52ef0b5e11860c1c50341586a3bb4ccd815830690601b49b68075c05d,-592fab1729e5661e8078465c5d558bd4c4ceefaef580736c1d72a7c5e8953f38,31
3d3ae58479a4d3c44206ea89095be1a98fcfa5f8af3c4da1065e4ead6161b3cd,-74204c24f02bf56f8a14860022ab86772f5d55832ccee1f7f5a9a69f01f2a14e,31
5c8c4905b859808ce12d842b8f8c41f90efcb437ece9e6481320edb85c4354c1,-d1fac959c0e93bb3f15943070668bd59c26818c90d6985ab009475840da6a9e4,31
b6da0caa960ea116a7416b2a298f333c8934d1e8c87d03a35e641e783f834f25,-58f3dadcff4bcd966431a510a6a708387803946c2eb4bcfe027394966e101060,32
6d8b75462041e0ffbe886c7e9af5df45811e1000d5ff1285ee67c775b74c7be0,-f6f6c37d9e99036a20e72846a22f064b94e32aa406eba27441e9a3583238c965,31
9b2e98c44cfde06e46dd5a8b99755410b03e21fdc590fc9661763efef83129ee,-4d50e48320bb9ff59e342e87bd0c5c1deb06838b2c2aef046416c03990597dc7,31
2a1780abb92183071e986995cbc1d2b2371a5013c827c0e9b5a7f4adb5841714,-9d778d761ea35085890ef76ae108cc253f4e1afed7ac58c07c57c555b31ba0a,32
783fce71ad968788b8262e21d9a990077004b899777a0c9be92278810d622462,-44b8614391349a9a2a496339d363a50db47fc1d4998fe473287fda79fa0d0cc1,32
f56eba7e5b37de06acb085f7189075279f73b8674feb662e136759f43b404eb3,-ca5390dea5a475b83f4c2865dd5ff2819e1acf64183c1f5005ed3d5a96fa433a,31
f3d080c784c544b9b427d9dbeaea23f7e8de6dc03bc9f991db14941afa86bd13,-6748db6e06fa3f91dffe8d2829f299092cb0423f650dbf17211a1a1a9daf90d7,31
5e78ae8313e634e899cd5e3699abdcf2a0d1facaddfc2c4acbb20ee65da89f58,-d9be47c47712ead0c16cd22b324f20cc798578a64c0539c58ebee3b43b38b81c,31
ef4605cc39751d57de64291cd258bc65b667cc3135ed06f68c403de32ea76a4f,-cf00a76f3ff2aa52de18e68c6403e973d1e335a3736095bb17b503197fcb8743,32
533ab59ef793f05ac93e1a2a9da9471450154a10fa3dc760d1f951bc62580e25,-b10e4bace1be9d03e0dbe12a03ec17fe1f29bc0d7342c7d10fd40396c3db0be4,32
4bbbebff5fdddfdeebf016b3970ab381cbff1afa6a93509c70cfef43772954f0,-b9ef8dc740e7d231216b7c7c50b79cc40efdbd2e4528946a2c05fe27739fd7da,31
7a591b029eedd7d95d8fef8445e905948e6a05dd9bc0146b435ee443848db05a,-f4ff1c449526b864e39da1903178143a7fb51843cb4bf791fd67e5f45e7e6ca4,32
915852caff53229eab7e69373a9859382b9662304109dbf5006f0ade88c698a4,-77dbdd581fcc79849fdad6edcfe68ae0ef1761b2acc15aafaf432df0e7ad3ea5,31
55e58e38176f5230bebf4df7655a228ea8707d5f4853a700efeeb9bd1e5ba25e,-aee46a1200b673950962281a0d255d1f3ea2b626f719e5a4d8307ea74d4c09a5,32
ca73fb95e5beda3b18dfbd18f53a388c1456f30e4dbe12a300627b2ef9313e8f,-cb2dbe6bf9d2587e966b36ed4e69490ecdec4ea689b0ea521903d5601b892cd5,31
b7a2e5da68942e62168aa3e89db50f19f21ead0972087055ce2331fb2a859bde,-e8d812e6bb3ed9b2cd5ecaa4ae8fb00dcbb08ce6b3218468bd7e8a0ce0e50202,31
6571aac333dfabbd4930db8e0a9f2f5e3de1dc110aa1094b4f74a464dbe04350,-b6215dec3e18db92fcc68fd271a73f3bde2322a08fada297dc6629e50b3361ee,31
45fe2946433ec7ac943fdfd56022d8c5a2db3c53f29462ff51e470a5f33f9ef3,-a6b0aba68409852a6168ed04eeb8da2e09bdce83198af0c3f298a1cf78c94542,32
8438a95e57d4424c5497da407fe45f2e73e06752b15d4dcb089e3d71b671b58c,-2683776b4f5e312025e91a663d250dbbab6c061c43c2236708c5dbe21a757844,32
57d8d570e21b37b9a282bec8d4a57cedc3c0be92e8dda338cd83a4199c5aa258,-fa33e04dd5a49ed39373ef11d7091c53282a8e1a6bf943c6c93007ed63f73306,32
3ac166284ebf18c7d41e75e05f0c0574190fd4bba15e793236f33987cb9f719,-8a652ad621145eb4d94e612ee450e196594931fcd0d762013807960e864f0075,32
2ad1ac176bf8393f3d3b4deb8fb030e8cfbfa2dc8d9cc0fc334eb39b0d0dce68,-b64e16821699dae8cc2fa3e123cbc320c30a21587faf0d7860e73c9462a70c91,31
da9303ace6c7ca8dad71183a3e9d02dee1cd81d02a17a3137ae1f552e336298c,-5aa8f8f1312d2f724af0218ddadabd0e13bd3ff2397999c6eb16bcc300da25b1,31
c7aa50ce918f5b990245d07aa9beea97727ef572dd77f0cbf6466f9a4854c4fe,-7327276107b7ab37ad8f08016e752c95a1edc18bef0d64ecf12ab478c1ef36d9,31
f87e6b6d87950265f5d26014ffa3b2978eb447a49d181f836d378a1e69a31fc5,-c5b263c862c24e8768a3e85c9b125878140c5e4deb590d9d93a8cb530d2543a0,32
cc0b35d9eb1d46219a43a87bc6b6b45ebb14f426b7863719768206ebc4d7dfdb,-9ac11873bbe6284d052c35fe139c3744fb77ec9ec11e8866892c28dda8d9884b,32
7cb82f52b860363a505f41fc987588627884a89027b23435803ce0761db24b6e,-2250dd03febf9b1a364ee9c177cbf2adba47a73ca8c2f7dccdb2b34bade029a2,31
c2911590756c66e196d8c59ca769eba2a16a40f981826c88dd1234d318cb3e85,-352b2acb49f4a9b9f3fcedaf7bbc3ea160e2bade8a16971cbe91017096935416,31
1198b3ce139a4e42634ef3b22539da14470ae81da2dde97363b564ba028ed9e,-d27f9b54d7626484bfce58272915ee4829dc5f17bc7fdc435eac2f987297ba78,31
5694a5f5633df29ef67b9b12c4d6aa628bbe77e55954e5827a7184271ab7aa62,-9e8ce2b25ec970531f1ff1d26d35113cb29f939a20278f23fbd0351c7f003d23,32
73595356850d5f4f50ece1a4bf5f47019ecf9d620fa4d4add3993f2b68b3af4a,-9643dda0a45fec822d3162c8c7198d930443253aadf768375765164c13581f42,31
c8bf2c2ab1b31aaed97522ea8b796cb98469241c305e3564effda3a23f0d9476,-956022019969222d01949a70e60fa6b414ad6a01f0655813b8731a218135392e,32
44ac888d34ab7596c7ea5d82e00c90c808f9ee0b1f42b5065025ebba02545d29,-514426a81d175eedcea687d188f02a4e74411355eceddb6928d6fdef68351d21,31
1bf2610e9e327f08c4f43f417584f5db7d4372e9c7d191bd7f79ad201556a434,-204ff0f35f99d70afb6599ee08b9e63e6d400f906f4cc8099dea498d1511baea,32
f9c96f467693a1e5692796eb069e08460d33258ce03ebab8f06f462528ac9fc2,-aea189c0c9f06fd6736f3346f99f157d5fb46949805cd86e8a0922afcc726370,31
412e55c932a266cb3317c990de7ff264ce2a69a1727f29049d28aace2888f93b,-2c5b31e72d7f1d5d0b748436dfaf535b32bf89385e4b58b308b040963da6c0ed,32
b7eac876ac3c83d4fca80ab636db8019bac03ab6df1baaf18bbbd6daab1869a6,-a8b7de897480749f76e30bf2e184b334ada8dc4c87b69479b1516bfc97445162,32
62712e06314baf81a4c81c032b3d494982cc9b2596a4cc128532441242e8c3e1,-598d7cfbd4cf32e79231760872f1ee91be96c4310782d9d621f70b2e58d9ab10,32
3fb3cc3135846058de85d253db999c22861d923a69b9d19e52f96e22dc04b25,-d2f52535a6eb69fb5751a400d4ee717bbd95c5b00f07afd9cb436d141dbf8893,32
40daac69d02c26a136bacab2c9c270a4738e6fb75ddaa275a01f5a7777e49b54,-7e9517cd647c51db0c221c02d08bfbcf7f3c8d763fb23b6d46fb50f43cbc9e9b,31
